t_elapsed_s,rpm,torque_percent,torque_valid,temperature_c,temp_valid,viscosity_cp,status,record
1.02,10,0.07,True,,False,6.947290000000001,0,0
2.03,10,0.03,True,,False,2.97741,0,0
3.04,10,0.02,True,,False,1.98494,0,0
4.01,10,,False,,False,,0,0
5.01,10,0.0,True,,False,0.0,0,0
6.02,10,0.02,True,,False,1.98494,0,0
7.04,10,0.04,True,,False,3.96988,0,0
8.01,10,0.05,True,,False,4.962350000000001,0,0
9.02,10,0.01,True,,False,0.99247,0,0
10.03,10,,False,,False,,0,0
11.01,10,0.01,True,,False,0.99247,0,0
12.02,10,0.02,True,,False,1.98494,0,0
13.02,10,0.04,True,,False,3.96988,0,0
14.05,10,0.02,True,,False,1.98494,0,0
15.03,10,0.0,True,,False,0.0,0,0
16.05,10,,False,,False,,0,0
17.05,10,0.0,True,,False,0.0,0,0
18.0,10,0.01,True,,False,0.99247,0,0
19.01,10,0.04,True,,False,3.96988,0,0
20.02,10,0.03,True,,False,2.97741,0,0
21.05,10,0.01,True,,False,0.99247,0,0
22.01,10,,False,,False,,0,0
23.03,10,0.0,True,,False,0.0,0,0
24.04,10,0.01,True,,False,0.99247,0,0
25.06,10,0.03,True,,False,2.97741,0,0
26.03,10,0.03,True,,False,2.97741,0,0
27.03,10,0.0,True,,False,0.0,0,0
28.01,10,,False,,False,,0,0
29.05,10,0.0,True,,False,0.0,0,0
30.01,10,0.02,True,,False,1.98494,0,0
31.02,10,0.03,True,,False,2.97741,0,0
32.0,10,0.04,True,,False,3.96988,0,0
33.02,10,0.02,True,,False,1.98494,0,0
34.03,10,,False,,False,,0,0
35.01,10,0.0,True,,False,0.0,0,0
36.04,10,0.03,True,,False,2.97741,0,0
37.02,10,0.06,True,,False,5.95482,0,0
38.04,10,0.03,True,,False,2.97741,0,0
39.0,10,0.01,True,,False,0.99247,0,0
40.01,10,,False,,False,,0,0
41.03,10,0.0,True,,False,0.0,0,0
42.05,10,0.02,True,,False,1.98494,0,0
43.01,10,0.04,True,,False,3.96988,0,0
44.01,10,0.03,True,,False,2.97741,0,0
45.02,10,0.01,True,,False,0.99247,0,0
46.03,10,,False,,False,,0,0
47.06,10,0.01,True,,False,0.99247,0,0
48.02,10,0.02,True,,False,1.98494,0,0
49.04,10,0.04,True,,False,3.96988,0,0
50.0,10,0.03,True,,False,2.97741,0,0
51.01,10,0.01,True,,False,0.99247,0,0
52.03,10,0.0,True,,False,0.0,0,0
53.04,10,0.01,True,,False,0.99247,0,0
54.05,10,0.03,True,,False,2.97741,0,0
55.02,10,0.04,True,,False,3.96988,0,0
56.03,10,0.05,True,,False,4.962350000000001,0,0
57.04,10,0.0,True,,False,0.0,0,0
58.0,10,,False,,False,,0,0
59.01,10,0.0,True,,False,0.0,0,0
