# Target torque (%),50.0
# Tolerance (%),20.0
# Final RPM,26.312

RPM,Torque (%),Viscosity (cP)
15.25,19.9,1295.0919999999999
22.625,25.39,1113.7597038674035
26.312,30.21,1139.478145368171

FINAL_RPM,26.312
FINAL_TORQUE_%,29.41
FINAL_VISCOSITY_cP,1109.303285510689
