t_elapsed_s,rpm,torque_percent,torque_valid,temperature_c,temp_valid,viscosity_cp,status,record
1.01,12,16.22,True,,False,1341.4886166666668,0,0
2.02,12,17.89,True,,False,1479.6073583333334,0,0
3.02,12,18.27,True,,False,1511.0355749999999,0,0
4.03,12,17.82,True,,False,1473.8179499999999,0,0
5.04,12,14.36,True,,False,1187.6557666666665,0,0
6.04,12,16.85,True,,False,1393.5932916666668,0,0
7.05,12,19.21,True,,False,1588.7790583333335,0,0
8.01,12,19.55,True,,False,1616.8990416666668,0,0
9.01,12,17.96,True,,False,1485.3967666666667,0,0
10.02,12,14.15,True,,False,1170.2875416666668,0,0
11.02,12,17.09,True,,False,1413.4426916666669,0,0
12.03,12,19.86,True,,False,1642.53785,0,0
13.03,12,19.4,True,,False,1604.4931666666664,0,0
14.04,12,18.3,True,,False,1513.51675,0,0
15.04,12,15.37,True,,False,1271.1886583333333,0,0
16.05,12,17.46,True,,False,1444.04385,0,0
17.01,12,20.13,True,,False,1664.868425,0,0
18.01,12,20.04,True,,False,1657.4249,0,0
19.01,12,18.96,True,,False,1568.1026000000002,0,0
20.02,12,14.55,True,,False,1203.369875,0,0
21.03,12,17.12,True,,False,1415.9238666666668,0,0
22.03,12,20.69,True,,False,1711.1836916666668,0,0
23.04,12,19.38,True,,False,1602.8390499999998,0,0
24.05,12,18.83,True,,False,1557.3508416666666,0,0
25.05,12,15.46,True,,False,1278.6321833333334,0,0
26.01,12,17.39,True,,False,1438.2544416666667,0,0
27.01,12,20.49,True,,False,1694.642525,0,0
28.02,12,20.09,True,,False,1661.5601916666667,0,0
29.03,12,18.37,True,,False,1519.3061583333335,0,0
30.03,12,14.88,True,,False,1230.6628,0,0
31.04,12,17.77,True,,False,1469.6826583333334,0,0
32.04,12,20.51,True,,False,1696.2966416666668,0,0
33.05,12,19.59,True,,False,1620.207275,0,0
34.0,12,17.91,True,,False,1481.261475,0,0
35.01,12,15.25,True,,False,1261.2639583333332,0,0
36.01,12,17.58,True,,False,1453.9685499999998,0,0
37.02,12,20.49,True,,False,1694.642525,0,0
38.03,12,19.85,True,,False,1641.7107916666666,0,0
39.03,12,19.36,True,,False,1601.1849333333332,0,0
40.04,12,15.0,True,,False,1240.5875,0,0
41.05,12,17.5,True,,False,1447.3520833333334,0,0
42.0,12,20.17,True,,False,1668.1766583333335,0,0
43.01,12,20.0,True,,False,1654.1166666666668,0,0
44.01,12,19.02,True,,False,1573.06495,0,0
45.02,12,15.12,True,,False,1250.5122,0,0
46.03,12,17.83,True,,False,1474.6450083333332,0,0
47.03,12,20.92,True,,False,1730.2060333333336,0,0
48.04,12,19.94,True,,False,1649.1543166666668,0,0
49.04,12,19.95,True,,False,1649.981375,0,0
50.04,12,14.99,True,,False,1239.7604416666668,0,0
51.05,12,17.56,True,,False,1452.3144333333332,0,0
52.0,12,20.57,True,,False,1701.2589916666666,0,0
53.01,12,19.63,True,,False,1623.5155083333332,0,0
54.02,12,19.05,True,,False,1575.546125,0,0
55.02,12,15.19,True,,False,1256.3016083333334,0,0
56.03,12,17.63,True,,False,1458.1038416666668,0,0
57.04,12,20.44,True,,False,1690.5072333333335,0,0
58.04,12,20.35,True,,False,1683.0637083333334,0,0
59.05,12,20.04,True,,False,1657.4249,0,0
