t_elapsed_s,rpm,torque_percent,torque_valid,temperature_c,temp_valid,viscosity_cp,status,record
1.02,10,6.0,True,,False,595.482,0,0
2.03,10,6.91,True,,False,685.79677,0,0
3.05,10,5.85,True,,False,580.5949499999999,0,0
4.02,10,1.7,True,,False,168.7199,0,0
5.04,10,2.97,True,,False,294.76359,0,0
6.0,10,5.04,True,,False,500.20488000000006,0,0
7.03,10,6.15,True,,False,610.36905,0,0
8.03,10,7.25,True,,False,719.54075,0,0
9.05,10,4.84,True,,False,480.35548,0,0
10.01,10,2.23,True,,False,221.32081,0,0
11.02,10,2.98,True,,False,295.75606000000005,0,0
12.04,10,5.73,True,,False,568.6853100000001,0,0
13.05,10,6.21,True,,False,616.3238699999999,0,0
14.01,10,5.09,True,,False,505.16723,0,0
15.02,10,6.17,True,,False,612.35399,0,0
16.04,10,1.26,True,,False,125.05122000000001,0,0
17.05,10,2.92,True,,False,289.80124,0,0
18.0,10,4.43,True,,False,439.66421,0,0
19.01,10,6.17,True,,False,612.35399,0,0
20.03,10,5.91,True,,False,586.54977,0,0
21.04,10,5.58,True,,False,553.79826,0,0
22.05,10,2.4,True,,False,238.19279999999998,0,0
23.01,10,3.1,True,,False,307.6657,0,0
24.01,10,5.01,True,,False,497.22747,0,0
25.03,10,6.19,True,,False,614.3389300000001,0,0
26.03,10,4.89,True,,False,485.31782999999996,0,0
27.05,10,7.76,True,,False,770.1567200000001,0,0
28.01,10,0.89,True,,False,88.32983,0,0
29.02,10,2.57,True,,False,255.06479,0,0
30.03,10,4.69,True,,False,465.46843000000007,0,0
31.04,10,5.4,True,,False,535.9338,0,0
32.05,10,5.46,True,,False,541.88862,0,0
33.01,10,5.28,True,,False,524.02416,0,0
34.02,10,2.86,True,,False,283.84641999999997,0,0
35.03,10,2.92,True,,False,289.80124,0,0
36.05,10,4.66,True,,False,462.49102000000005,0,0
37.02,10,6.71,True,,False,665.9473700000001,0,0
38.03,10,4.86,True,,False,482.3404200000001,0,0
39.04,10,6.79,True,,False,673.88713,0,0
40.05,10,2.04,True,,False,202.46388000000002,0,0
41.01,10,3.12,True,,False,309.65064,0,0
42.02,10,4.31,True,,False,427.75456999999994,0,0
43.02,10,5.6,True,,False,555.7832,0,0
44.03,10,5.63,True,,False,558.76061,0,0
45.04,10,7.35,True,,False,729.4654499999999,0,0
46.05,10,1.46,True,,False,144.90062,0,0
47.01,10,3.12,True,,False,309.65064,0,0
48.02,10,4.22,True,,False,418.82234,0,0
49.03,10,5.84,True,,False,579.60248,0,0
50.04,10,8.65,True,,False,858.48655,0,0
51.05,10,6.63,True,,False,658.00761,0,0
52.01,10,1.9,True,,False,188.5693,0,0
53.02,10,3.0,True,,False,297.741,0,0
54.03,10,4.2,True,,False,416.83740000000006,0,0
55.05,10,6.05,True,,False,600.44435,0,0
56.02,10,7.08,True,,False,702.66876,0,0
57.03,10,6.87,True,,False,681.82689,0,0
58.04,10,2.88,True,,False,285.83136,0,0
59.0,10,3.24,True,,False,321.56028000000003,0,0
