t_elapsed_s,rpm,torque_percent,torque_valid,temperature_c,temp_valid,viscosity_cp,status,record
1.01,20,26.66,True,,False,1322.96251,0,0
2.02,20,25.53,True,,False,1266.8879550000001,0,0
3.02,20,26.59,True,,False,1319.488865,0,0
4.03,20,28.65,True,,False,1421.7132749999998,0,0
5.04,20,25.48,True,,False,1264.40678,0,0
6.04,20,27.13,True,,False,1346.285555,0,0
7.05,20,28.5,True,,False,1414.26975,0,0
8.0,20,27.38,True,,False,1358.69143,0,0
9.01,20,27.43,True,,False,1361.1726050000002,0,0
10.01,20,28.37,True,,False,1407.8186950000002,0,0
11.01,20,28.08,True,,False,1393.42788,0,0
12.02,20,27.69,True,,False,1374.0747150000002,0,0
13.03,20,28.47,True,,False,1412.781045,0,0
14.03,20,27.15,True,,False,1347.278025,0,0
15.04,20,28.09,True,,False,1393.924115,0,0
16.04,20,28.26,True,,False,1402.36011,0,0
17.05,20,27.22,True,,False,1350.75167,0,0
18.0,20,27.48,True,,False,1363.65378,0,0
19.01,20,28.78,True,,False,1428.16433,0,0
20.01,20,28.01,True,,False,1389.9542350000002,0,0
21.02,20,28.04,True,,False,1391.44294,0,0
22.03,20,28.42,True,,False,1410.2998700000003,0,0
23.03,20,27.65,True,,False,1372.089775,0,0
24.04,20,27.83,True,,False,1381.022005,0,0
25.04,20,29.02,True,,False,1440.07397,0,0
26.04,20,27.71,True,,False,1375.067185,0,0
27.04,20,28.33,True,,False,1405.833755,0,0
28.04,20,28.09,True,,False,1393.924115,0,0
29.05,20,26.08,True,,False,1294.18088,0,0
30.0,20,27.62,True,,False,1370.6010700000002,0,0
31.0,20,28.93,True,,False,1435.607855,0,0
32.01,20,28.19,True,,False,1398.886465,0,0
33.02,20,28.15,True,,False,1396.901525,0,0
34.02,20,28.9,True,,False,1434.11915,0,0
35.03,20,27.32,True,,False,1355.71402,0,0
36.03,20,27.88,True,,False,1383.5031800000002,0,0
37.03,20,29.12,True,,False,1445.0363200000002,0,0
38.03,20,28.24,True,,False,1401.36764,0,0
39.03,20,28.07,True,,False,1392.9316450000001,0,0
40.03,20,28.51,True,,False,1414.7659850000002,0,0
41.04,20,26.98,True,,False,1338.84203,0,0
42.04,20,28.01,True,,False,1389.9542350000002,0,0
43.0,20,29.01,True,,False,1439.577735,0,0
44.01,20,28.68,True,,False,1423.20198,0,0
45.01,20,27.88,True,,False,1383.5031800000002,0,0
46.02,20,28.63,True,,False,1420.720805,0,0
47.02,20,27.43,True,,False,1361.1726050000002,0,0
48.03,20,27.94,True,,False,1386.4805900000001,0,0
49.03,20,29.5,True,,False,1463.89325,0,0
50.03,20,28.22,True,,False,1400.37517,0,0
51.04,20,28.29,True,,False,1403.8488149999998,0,0
52.04,20,28.96,True,,False,1437.0965600000002,0,0
53.05,20,27.07,True,,False,1343.308145,0,0
54.0,20,27.66,True,,False,1372.58601,0,0
55.01,20,29.02,True,,False,1440.07397,0,0
56.01,20,28.08,True,,False,1393.42788,0,0
57.02,20,27.89,True,,False,1383.999415,0,0
58.02,20,28.43,True,,False,1410.796105,0,0
59.03,20,27.11,True,,False,1345.293085,0,0
