t_elapsed_s,rpm,torque_percent,torque_valid,temperature_c,temp_valid,viscosity_cp,status,record
1.01,0.9,12.31,True,,False,13574.784111111112,0,0
2.02,0.9,17.01,True,,False,18757.683,0,0
3.02,0.9,21.57,True,,False,23786.197666666667,0,0
4.02,0.9,25.32,True,,False,27921.489333333335,0,0
5.03,0.9,28.52,True,,False,31450.271555555555,0,0
6.03,0.9,31.32,True,,False,34537.956,0,0
7.04,0.9,33.81,True,,False,37283.789666666664,0,0
8.04,0.9,36.03,True,,False,39731.882333333335,0,0
9.05,0.9,38.07,True,,False,41981.481,0,0
10.01,0.9,39.88,True,,False,43977.448444444446,0,0
11.01,0.9,41.67,True,,False,45951.361,0,0
12.01,0.9,43.37,True,,False,47826.02655555556,0,0
13.02,0.9,44.98,True,,False,49601.445111111105,0,0
14.03,0.9,46.48,True,,False,51255.56177777777,0,0
15.03,0.9,47.92,True,,False,52843.51377777778,0,0
16.04,0.9,49.3,True,,False,54365.30111111111,0,0
17.05,0.9,50.6,True,,False,55798.868888888894,0,0
18.0,0.9,51.78,True,,False,57100.10733333333,0,0
19.01,0.9,53.0,True,,False,58445.455555555556,0,0
20.02,0.9,54.17,True,,False,59735.66655555555,0,0
21.02,0.9,55.31,True,,False,60992.79522222222,0,0
22.03,0.9,56.39,True,,False,62183.75922222222,0,0
23.04,0.9,57.44,True,,False,63341.64088888888,0,0
24.04,0.9,58.44,True,,False,64444.38533333333,0,0
25.05,0.9,59.49,True,,False,65602.26699999999,0,0
26.05,0.9,60.4,True,,False,66605.76444444444,0,0
27.0,0.9,61.33,True,,False,67631.31677777779,0,0
28.0,0.9,62.23,True,,False,68623.78677777777,0,0
29.0,0.9,63.03,True,,False,69505.98233333333,0,0
30.01,0.9,63.75,True,,False,70299.95833333333,0,0
31.01,0.9,64.4,True,,False,71016.74222222222,0,0
32.02,0.9,65.04,True,,False,71722.49866666668,0,0
33.03,0.9,65.69,True,,False,72439.28255555555,0,0
34.04,0.9,66.12,True,,False,72913.46266666667,0,0
35.04,0.9,66.44,True,,False,73266.34088888888,0,0
36.05,0.9,66.81,True,,False,73674.35633333333,0,0
37.0,0.9,67.21,True,,False,74115.4541111111,0,0
38.01,0.9,67.59,True,,False,74534.497,0,0
39.02,0.9,67.9,True,,False,74876.34777777777,0,0
40.02,0.9,67.97,True,,False,74953.53988888889,0,0
41.03,0.9,68.07,True,,False,75063.81433333333,0,0
42.04,0.9,68.26,True,,False,75273.33577777779,0,0
43.04,0.9,68.46,True,,False,75493.88466666666,0,0
44.0,0.9,68.69,True,,False,75747.51588888888,0,0
45.0,0.9,68.88,True,,False,75957.03733333333,0,0
46.01,0.9,68.84,True,,False,75912.92755555555,0,0
47.02,0.9,68.74,True,,False,75802.65311111111,0,0
48.03,0.9,68.63,True,,False,75681.3512222222,0,0
49.03,0.9,68.62,True,,False,75670.32377777778,0,0
50.04,0.9,68.58,True,,False,75626.214,0,0
51.05,0.9,68.69,True,,False,75747.51588888888,0,0
52.0,0.9,68.76,True,,False,75824.708,0,0
53.01,0.9,68.61,True,,False,75659.29633333333,0,0
54.02,0.9,68.52,True,,False,75560.04933333333,0,0
55.03,0.9,68.78,True,,False,75846.7628888889,0,0
56.03,0.9,69.13,True,,False,76232.72344444443,0,0
57.04,0.9,69.17,True,,False,76276.83322222222,0,0
58.05,0.9,68.98,True,,False,76067.31177777778,0,0
59.0,0.9,68.86,True,,False,75934.98244444445,0,0
