t_elapsed_s,rpm,torque_percent,torque_valid,temperature_c,temp_valid,viscosity_cp,status,record
1.01,4.5,37.85,True,,False,8347.775444444445,0,0
2.03,4.5,46.16,True,,False,10180.53671111111,0,0
3.04,4.5,52.64,True,,False,11609.693511111112,0,0
4.05,4.5,58.34,True,,False,12866.822177777778,0,0
5.01,4.5,61.58,True,,False,13581.400577777778,0,0
6.02,4.5,63.43,True,,False,13989.416022222222,0,0
7.03,4.5,64.43,True,,False,14209.964911111114,0,0
8.04,4.5,65.29,True,,False,14399.636955555558,0,0
9.0,4.5,66.13,True,,False,14584.898022222224,0,0
10.03,4.5,66.2,True,,False,14600.336444444447,0,0
11.04,4.5,64.2,True,,False,14159.238666666668,0,0
12.05,4.5,62.75,True,,False,13839.442777777778,0,0
13.01,4.5,61.52,True,,False,13568.167644444446,0,0
14.03,4.5,60.49,True,,False,13341.002288888889,0,0
15.05,4.5,59.27,True,,False,13071.932644444445,0,0
16.01,4.5,57.88,True,,False,12765.36968888889,0,0
17.04,4.5,56.01,True,,False,12352.943266666667,0,0
18.03,4.5,57.92,True,,False,12774.191644444445,0,0
19.03,4.5,61.42,True,,False,13546.112755555556,0,0
20.0,4.5,63.0,True,,False,13894.58,0,0
21.02,4.5,63.77,True,,False,14064.402644444446,0,0
22.03,4.5,64.82,True,,False,14295.978977777777,0,0
23.03,4.5,65.42,True,,False,14428.308311111112,0,0
24.0,4.5,63.76,True,,False,14062.197155555556,0,0
25.01,4.5,62.09,True,,False,13693.880511111112,0,0
26.02,4.5,60.98,True,,False,13449.071244444443,0,0
27.0,4.5,59.76,True,,False,13180.0016,0,0
28.04,4.5,58.66,True,,False,12937.397822222221,0,0
29.05,4.5,57.09,True,,False,12591.136066666668,0,0
30.01,4.5,55.91,True,,False,12330.888377777777,0,0
31.02,4.5,55.93,True,,False,12335.299355555555,0,0
32.03,4.5,60.35,True,,False,13310.125444444444,0,0
33.02,4.5,62.37,True,,False,13755.6342,0,0
34.01,4.5,63.45,True,,False,13993.827000000001,0,0
35.04,4.5,64.61,True,,False,14249.663711111112,0,0
36.01,4.5,65.55,True,,False,14456.979666666666,0,0
37.02,4.5,64.91,True,,False,14315.828377777776,0,0
38.04,4.5,63.11,True,,False,13918.840377777778,0,0
39.0,4.5,62.0,True,,False,13674.031111111111,0,0
40.03,4.5,60.53,True,,False,13349.824244444444,0,0
41.05,4.5,59.85,True,,False,13199.851,0,0
42.04,4.5,58.94,True,,False,12999.151511111111,0,0
43.05,4.5,56.87,True,,False,12542.61531111111,0,0
44.05,4.5,54.7,True,,False,12064.024222222222,0,0
45.04,4.5,59.06,True,,False,13025.617377777779,0,0
46.05,4.5,61.93,True,,False,13658.592688888888,0,0
47.0,4.5,63.0,True,,False,13894.58,0,0
48.01,4.5,63.86,True,,False,14084.252044444445,0,0
49.02,4.5,64.84,True,,False,14300.389955555556,0,0
50.04,4.5,65.22,True,,False,14384.198533333334,0,0
51.0,4.5,63.06,True,,False,13907.812933333335,0,0
52.02,4.5,61.78,True,,False,13625.510355555556,0,0
53.05,4.5,60.52,True,,False,13347.618755555557,0,0
54.01,4.5,59.57,True,,False,13138.097311111113,0,0
55.02,4.5,58.46,True,,False,12893.288044444445,0,0
56.0,4.5,56.78,True,,False,12522.765911111112,0,0
57.02,4.5,55.97,True,,False,12344.12131111111,0,0
58.0,4.5,57.8,True,,False,12747.725777777778,0,0
59.02,4.5,61.28,True,,False,13515.23591111111,0,0
60.03,4.5,62.93,True,,False,13879.141577777778,0,0
61.01,4.5,63.64,True,,False,14035.73128888889,0,0
62.01,4.5,64.84,True,,False,14300.389955555556,0,0
63.03,4.5,65.84,True,,False,14520.938844444445,0,0
64.05,4.5,64.29,True,,False,14179.088066666669,0,0
65.01,4.5,62.91,True,,False,13874.7306,0,0
66.03,4.5,61.95,True,,False,13663.003666666667,0,0
67.05,4.5,60.2,True,,False,13277.043111111112,0,0
68.02,4.5,59.46,True,,False,13113.836933333334,0,0
69.03,4.5,57.87,True,,False,12763.1642,0,0
70.05,4.5,56.68,True,,False,12500.711022222222,0,0
71.03,4.5,56.48,True,,False,12456.601244444444,0,0
72.05,4.5,60.44,True,,False,13329.974844444445,0,0
73.01,4.5,62.2,True,,False,13718.140888888891,0,0
74.02,4.5,63.08,True,,False,13912.22391111111,0,0
75.03,4.5,63.9,True,,False,14093.074,0,0
