rpm,torque_percent,torque_valid,temperature_c,temp_valid,viscosity_cp,status,record
2.5,26.56,True,,False,10544.00128,0,0
3.0,31.94,True,,False,10566.497266666667,0,0
3.5,37.06,True,,False,10508.839485714287,0,0
4.0,42.32,True,,False,10500.3326,0,0
4.5,47.74,True,,False,10529.003955555556,0,0
4.5,47.62,True,,False,10502.538088888889,0,0
4.5,47.47,True,,False,10469.455755555557,0,0
5.0,52.95,True,,False,10510.257300000001,0,0
5.5,58.05,True,,False,10475.069727272727,0,0
6.0,63.27,True,,False,10465.596150000001,0,0
